ProjectID,EPGeoName,Location1_EProMIS,Location2_Secondary,Ward,Constituency,County,Project Cost Yearly Breakdown (KES),Total Project Cost (KES),Approval Date ,Start Date (Planned),Start Date (Actual),End Date (Planned),End Date (Actual),Duration,Duration (Months),Project Title,Project Description,Project Objectives,NG Programme,Vision 2030 Flagship Ministry,Vision 2030 Flagship Project/Programme,Implementing Agency,Implementation Status,MTEF Sector,Work Plan Progress (%) 
2012/053902,Kisumu,"(-0.15500000000, 34.88600000000)",,KOBURA,NYANDO,KISUMU,48000000,48000000,04/09/2010 12:00:00 AM,06/07/2010 12:00:00 AM,,06/30/2015 12:00:00 AM,,60 months 23 days,60 months,Gambogi- Serem Road,Road construction between Gambogi and Serem,Improve transportaion between Gambogi and Serem,020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure,Ongoing,"Energy, Infrastructure and ICT",0
2012/054006,Kisumu,"(-0.15500000000, 34.88600000000)",,KOBURA,NYANDO,KISUMU,20833333333,25000000000,06/21/2012 12:00:00 AM,06/21/2012 12:00:00 AM,,06/30/2017 12:00:00 AM,,60 months 9 days,60 months,National Urban Transport Improvement Project (NUTRIP),*,*,020200 - Road Transport,Unspecified,Unspecified,109 - Ministry of Transport and Infrastructure; 1091 - State Department of Infrastructure; 1092 - State Department of Transport,Ongoing,"Energy, Infrastructure and ICT",0
2010/051689,Kisii University,"(-0.69300000000, 34.78400000000)",,BOBARACHO,NYARIBARI CHACHE,KISII,130669339,784016033,04/16/2009 12:00:00 AM,05/02/2009 12:00:00 AM,,10/26/2013 12:00:00 AM,,53 months 24 days,53 months,Ict Centre,Involves the construction of ICT Centre,promote the use of ICT in Learning and Management,"050600 - Research, Science, Technology and Innovation",Unspecified,Unspecified,106 - MOES&T - Kisii University,Ongoing,Education,0
2010/052009,Kisii Central,"(-0.72800000000, 34.80400000000)",,BOBARACHO,NYARIBARI CHACHE,KISII,12219362,24438722,06/12/2007 12:00:00 AM,07/19/2007 12:00:00 AM,,12/31/2015 12:00:00 AM,,101 months 12 days,101 months,Shomap-Smallholder Horticulture Marketing Programme,"The project will carry out market system analysis, district-wide mapping of stockists, institutional strengthening throught group registration, support services strengthening and market information development. Further the project will invest in  domesti","Increease the output of and net margins per unit of land earned by smallholders from horticultural production for domestic market.
Reduce the cost to consumers and increase the quality of horticultural products consumed domestically
Increase eployment op",010900 - Agribusiness and Information Management,Unspecified,Unspecified,"116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2011/053175,Kisii Central,"(-0.72800000000, 34.80400000000)",,BOBARACHO,NYARIBARI CHACHE,KISII,673758721,1010638298,11/17/2005 12:00:00 AM,05/12/2005 12:00:00 AM,,12/31/2012 12:00:00 AM,,103 months 14 days,103 months,Water Supply/Sanitation Nzoia-Cl.Ph.1 St.2 (2004 70 252),"Water Sector Development Programme (Water Supply and Sanitation Programme Nzoia Cluster, Phase 1 Stage 2). The project will be implemented the Lake Victoria North Water Services Board and it will cover Western Kenya and its environs. This project entails",The objective of this project is to provide access to safe drinking water and basic sanitary services to infrastructures to the people living on the target area.,100400 - Water Resources Management,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Completed,"Environmental Protection, Water and Natural Resources",0
2012/053969,Kisii Central,"(-0.72800000000, 34.80400000000)",,BOBARACHO,NYARIBARI CHACHE,KISII,3570000000,3630000000,12/30/2011 12:00:00 AM,07/01/2012 12:00:00 AM,,06/30/2016 12:00:00 AM,,47 months 29 days,47 months,Development Of Water And Sanitation Sector - L.Victoria South (2010 65 861),"TO SUPPLY WATER TO KERICHO, AND KISII",TO MEET THE DEMAND FOR CLEAN AND SAFE WATER,100400 - Water Resources Management,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources; 1101 - State Department for Environment  and Natural Resources; 1102 - State Department for Water and Regional Authorities.,Ongoing,"Environmental Protection, Water and Natural Resources",0
2010/051750,Kisii(Populated Area),"(-0.68200000000, 34.76700000000)",,KISII CENTRAL,NYARIBARI CHACHE,KISII,,840000000,05/03/2010 12:00:00 AM,07/02/2012 12:00:00 AM,06/08/2012 12:00:00 AM,10/31/2014 12:00:00 AM,,27 months 29 days,27 months,Kisii - Awendo Transmission Line,"44km 132kV, one 23MVA sub-station","To reduce system losses, improve terminal flow, enhance access and increase connectivity",021300 - Power  Transmission and Distribution,Unspecified,Unspecified,115 - MOE&P - Kenya Electricity Transmission Company Limited (KETRACO),Ongoing,"Energy, Infrastructure and ICT",70.4
2010/052421,Kisii,"(-0.67800000000, 34.77200000000)",,KISII CENTRAL,NYARIBARI CHACHE,KISII,54,68,05/08/2009 12:00:00 AM,07/01/2009 12:00:00 AM,,06/28/2013 12:00:00 AM,,89 months 1 day,89 months,Lake Victoria Environmental Management Project (LVEMP) Phase II,"LVEMP II is an eight (8) years project that will be implemented in two phase known as Adjustable Programme Lending (APL). APL 1 runs for 4 years from 2009/10 FY to 2012/13 FY and is being implemented in Nyando River basin which covers an area of 3,550 Km",The higher development objective of LVEMP II is to contribute to the EACΓÇÖs Vision and Strategy Framework for Management and Development of the Lake Victoria basin ΓÇô ΓÇ£ a prosperous population living in a healthy and sustainably managed environment p,100500 - Integrated Regional Development,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources; 1101 - State Department for Environment  and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2010/052218,Nyatike District,"(-0.96400000000, 34.24000000000)",,NORTH KADEM,NYATIKE,MIGORI,803289315,1767236641,07/01/2004 12:00:00 AM,07/01/2005 12:00:00 AM,,12/31/2015 12:00:00 AM,,125 months 30 days,125 months,Southern Nyanza Community Development Project (Rpd),"To be implemented in six of the poorest districts in the relatively high potential agriculture areas in southern Nyanza. Has five components; community empowerement; Primary health care, agricuture, livestock and rural finance; domestic water suppl; and","To enhance gendered empowerement of the rural communities through improved health and more rational use and managment of natural resources for sustainable livelihood activities
To improve local level governance capacity and community driven processes for",070600 - Economic Policy and National Planning,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1031 - State Department for Planning,Ongoing,Public Administration and International Relations (PAIR),0
2011/053184,Kericho,"(-0.41100000000, 37.02300000000)",,KIGANJO/MATHARI,NYERI TOWN,NYERI,7440476161,8928571429,05/23/2011 12:00:00 AM,08/23/2011 12:00:00 AM,,06/30/2016 12:00:00 AM,03/09/2018 12:00:00 AM,84 months 11 days,84 months,Kenya Informal Settlement Improvement Project (KISIP),This is a World Bank funded project covering 15 selected municipalities that intends to Strengthen institutions and programme management; Enhance security of tenure; Invest in infrastructure and service delivery; and Plan for urban Growth.,To improve living conditions in informal settlement in selected municipalities in Kenya,010200 - Housing Development and Human Settlement,Ministry of Land Housing and Urban Development,"Enacting Housing Bill, 2006 to Legislate for a One  Stop Housing Development Approvals Mechanism",1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2010/052333,Nyeri District,"(-0.42000000000, 36.95000000000)",,RWARE,NYERI TOWN,NYERI,,73529412,10/09/2006 12:00:00 AM,05/07/2007 12:00:00 AM,,12/31/2013 12:00:00 AM,,79 months 24 days,79 months,Natural Resources Management Project (NRM),"water resource management and irrigation
management of forest resources
livelihood investiments","the objective of the project is to enhance the recipient institutional capacity to manage water and forestresources, reduce the incidence and severity of water shocks  such as drought, flood and water shortage in river catchments and improve the  livelih",100400 - Water Resources Management; 100300 - Natural Resources Conservation and Management,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources,Ongoing,"Environmental Protection, Water and Natural Resources",0
2011/053184,Nyeri District,"(-0.42000000000, 36.95000000000)",,RWARE,NYERI TOWN,NYERI,7440476161,8928571429,05/23/2011 12:00:00 AM,08/23/2011 12:00:00 AM,,06/30/2016 12:00:00 AM,03/09/2018 12:00:00 AM,84 months 11 days,84 months,Kenya Informal Settlement Improvement Project (KISIP),This is a World Bank funded project covering 15 selected municipalities that intends to Strengthen institutions and programme management; Enhance security of tenure; Invest in infrastructure and service delivery; and Plan for urban Growth.,To improve living conditions in informal settlement in selected municipalities in Kenya,010200 - Housing Development and Human Settlement,Ministry of Land Housing and Urban Development,"Enacting Housing Bill, 2006 to Legislate for a One  Stop Housing Development Approvals Mechanism",1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2012/053353,Nyeri,"(-0.41600000000, 36.95100000000)",,RWARE,NYERI TOWN,NYERI,7751937985,7751937984,05/04/2010 12:00:00 AM,06/28/2010 12:00:00 AM,,08/30/2015 12:00:00 AM,03/09/2018 12:00:00 AM,98 months 5 days,98 months,Kenya Municipal Programme (KMP) Phase Ii,To strengthen local governance and improve service delivery in selected municipalities.,To Strenghen local Governance and improve servise delivery in selected municipalities,010500 - Urban and Metropolitan Development,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2010/052009,Nyandarua North,"(-0.15500000000, 36.42900000000)",,WERU,OL JOROK,NYANDARUA,12219362,24438722,06/12/2007 12:00:00 AM,07/19/2007 12:00:00 AM,,12/31/2015 12:00:00 AM,,101 months 12 days,101 months,Shomap-Smallholder Horticulture Marketing Programme,"The project will carry out market system analysis, district-wide mapping of stockists, institutional strengthening throught group registration, support services strengthening and market information development. Further the project will invest in  domesti","Increease the output of and net margins per unit of land earned by smallholders from horticultural production for domestic market.
Reduce the cost to consumers and increase the quality of horticultural products consumed domestically
Increase eployment op",010900 - Agribusiness and Information Management,Unspecified,Unspecified,"116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2010/052061,Nyandarua North,"(-0.15500000000, 36.42900000000)",,WERU,OL JOROK,NYANDARUA,923964217,1055959105,05/08/2009 12:00:00 AM,07/01/2009 12:00:00 AM,,12/31/2013 12:00:00 AM,,95 months 8 days,95 months,Cash Trasfer For Orphans & Vulnerable Children (CT-OVC),Transfering regular and predictable cash to identified poor households living with orphans and vulnerable children to reduce the level of poverty and vulnerability and promote social inclusion and participation of the vulnerable groups.,To reduce vulnerability and subsequent suffering among the porest kenyan households taking care of the OVC by  providing regular and preditable cash transfer to poor households taking care of the orphans  and vulnerable children in order to strengthen th,090800 - Social Development and Children Services,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1141 - Ministry of Labour Social Security and Services,Ongoing,"Social Protection, Culture and Recreation",3.71
2011/053187,Nyandarua North,"(-0.15500000000, 36.42900000000)",,WERU,OL JOROK,NYANDARUA,2985074702,5970149254,09/06/2009 12:00:00 AM,12/06/2009 12:00:00 AM,06/12/2009 12:00:00 AM,02/12/2016 12:00:00 AM,02/04/2017 12:00:00 AM,87 months 27 days,87 months,Kenya Agricutural Productivity & Agribusiness Project (KAPAP),"To support the agricultural research systems and agricultural extension, farmer and other Stakeholder empowerment.",To increase the agricultural productivity and incomes of participating small-holder farmers in 20 districs in Kenya,010900 - Agribusiness and Information Management,"Ministry of Agriculture, Livestock and Fisheries",Enactment of Consolidated Agricultural Policy Reform Legislation ; Setting up of Five Livestock Disease-free Zones in the ASAL Regions,"116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
